INDNO,DlyCalDt,DlyTotRet,DlyTotInd,DlyIncRet,DlyUsdCnt,DlyTotVal
1000500,1991-01-10,0.010583,575.11,0.000003,500,2059517901
1000500,1991-01-11,0.001165,575.78,0.000006,500,2061905644
1000500,1991-01-14,-0.008205,571.06,0.000251,500,2044469806
1000500,1991-01-15,0.003857,573.26,0.000033,500,2052287672
1000500,1991-01-16,0.008563,578.17,0.000044,500,2069770303
1000500,1991-01-17,0.037071,599.60,0.000000,500,2146498007
1000500,1991-01-18,0.012316,606.98,0.000105,500,2172710043
1000500,1991-01-21,-0.002126,605.69,0.000000,500,2168090434
1000500,1991-01-22,-0.008428,600.59,0.000020,500,2149775142
1000500,1991-01-23,0.005544,603.92,0.000036,500,2161617256
1000500,1991-01-24,0.014383,612.61,0.000169,500,2192343019
1000500,1991-01-25,0.003438,614.71,0.000045,500,2199780558
1000500,1991-01-28,0.000172,614.82,0.000194,500,2199732143
1000500,1991-01-29,-0.000197,614.70,0.000273,500,2198698474
1000500,1991-01-30,0.015170,624.02,0.000097,500,2231839565
1000500,1991-01-31,0.009214,629.77,0.000009,500,2252386087
1000500,1991-02-01,-0.002645,628.10,0.000058,500,2246300262
1000500,1991-02-04,0.015525,637.86,0.000721,500,2279555964
1000500,1991-02-05,0.009392,643.85,0.000567,500,2299674271
1000500,1991-02-06,0.019462,656.38,0.000038,500,2344342732
1000500,1991-02-07,-0.004023,653.74,0.000302,500,2334203629
1000500,1991-02-08,0.007751,658.80,0.000149,500,2351949011
1000500,1991-02-11,0.026023,675.95,0.000469,500,2412051039
1000500,1991-02-12,-0.007600,670.81,0.000154,500,2393348112
1000500,1991-02-13,0.010025,677.54,0.000215,500,2418152904
1000500,1991-02-14,-0.013488,668.40,0.000033,500,2385457261
1000500,1991-02-15,0.013336,677.31,0.000203,500,2416784232
1000500,1991-02-19,0.001802,678.53,0.000078,500,2420951783
1000500,1991-02-20,-0.011165,670.96,0.000024,500,2393720979
1000500,1991-02-21,-0.000682,670.50,0.000016,500,2392050372
1000500,1991-02-22,0.001873,671.75,0.000253,500,2395926293
1000500,1991-02-25,0.004761,674.95,0.000338,500,2406523051
1000500,1991-02-26,-0.011475,667.21,0.000177,500,2378482249
1000500,1991-02-27,0.013202,676.01,0.000044,500,2409778678
1000500,1991-02-28,-0.001734,674.84,0.000201,500,2405166444
1000500,1991-03-01,0.009396,681.18,0.000086,500,2427557672
1000500,1991-03-04,-0.002312,679.61,0.000359,500,2421075422
1000500,1991-03-05,0.019875,693.12,0.000113,500,2468920091
1000500,1991-03-06,-0.001835,691.84,0.000039,500,2464294493
1000500,1991-03-07,-0.000009,691.84,0.000074,500,2464087819
1000500,1991-03-08,-0.002503,690.11,0.000175,500,2457488482
1000500,1991-03-11,-0.005318,686.44,0.000283,500,2443722637
1000500,1991-03-12,-0.007812,681.07,0.000050,500,2424510835
1000500,1991-03-13,0.012493,689.58,0.000054,500,2454668147
1000500,1991-03-14,-0.002425,687.91,0.000025,500,2448652639
1000500,1991-03-15,-0.000607,687.49,0.000000,500,2447170730
1000500,1991-03-18,-0.003245,685.26,0.000020,500,2439181596
1000500,1991-03-19,-0.014724,675.17,0.000064,500,2403109539
1000500,1991-03-20,0.003881,677.79,0.000016,500,2412398962
1000500,1991-03-21,-0.003604,675.35,0.000016,500,2403665649
1000500,1991-03-22,0.002593,677.10,0.000464,500,2408790419
1000500,1991-03-25,0.006652,681.60,0.000145,500,2424465042
1000500,1991-03-26,0.017689,693.66,0.000001,500,2467348670
1000500,1991-03-27,-0.002371,692.02,0.000025,500,2461436548
1000500,1991-03-28,-0.001043,691.30,0.000011,500,2467384065
1000500,1991-04-01,-0.009807,684.52,0.000263,500,2442536205
1000500,1991-04-02,0.021905,699.51,0.000040,500,2495996916
1000500,1991-04-03,-0.001468,698.48,0.000087,500,2492114760
1000500,1991-04-04,0.003276,700.77,0.000461,500,2499129577
1000500,1991-04-05,-0.011395,692.79,0.000019,500,2470603927
1000500,1991-04-08,0.008283,698.52,0.000024,500,2491009509
1000500,1991-04-09,-0.012902,689.51,0.000074,500,2458685616
1000500,1991-04-10,-0.001140,688.73,0.000005,500,2455872027
